round	config	n_layers	n_periodic	n_standard	ff_dim	d_model	combined_params	standard_params	compression	combined_loss	std_loss	combined_ppl	std_ppl	gap	p_value	dataset	notes
1	E_matched_params	6	1	7	512	256	8346752	8348672	1.00	4.7634	4.7996	117.1	121.5	-0.0362	0.0001	wikitext2	combined better, t=-15.49
2	A_gentle_1.3x	6	1	7	256	256	7515776	8348672	1.11	4.8104	4.7996	122.8	121.5	+0.0108	0.0256	wikitext2	standard better, t=3.47
3	B_medium_1.5x	4	1	5	256	256	6476288	8348672	1.29	4.8474	4.7996	127.4	121.5	+0.0478	0.0012	wikitext2	standard better, t=8.18
4	C_aggressive_2x	2	1	3	128	256	5561216	8348672	1.50	5.0126	4.7996	150.3	121.5	+0.2130	0.0000	wikitext2	standard better, t=98.84
5	D_extreme_3x	2	1	3	96	192	4103328	8348672	2.03	5.1008	4.7996	164.2	121.5	+0.3012	0.0000	wikitext2	standard better, t=34.25
